"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",2,0.6600000262260437,0.6766667366027832,0.6559999585151672,0.6299999952316284,0.2176886349916458,0.07374223321676254,4.882812376649781e-08
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",4,0.7200000286102295,0.7166666984558105,0.7019999623298645,0.6799999475479126,0.35991260409355164,0.08541802316904068,8.138020746173424e-08
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",6,0.7699999809265137,0.7099999785423279,0.7119999527931213,0.7039999961853027,0.4338904321193695,0.09983500838279724,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.75,0.753333330154419,0.7480000257492065,0.7240000367164612,0.3795050084590912,0.08264674246311188,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.7799999713897705,0.7633333802223206,0.7520000338554382,0.7350000143051147,0.44672664999961853,0.09833842515945435,4.882812376649781e-08
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.800000011920929,0.7833333611488342,0.7400000691413879,0.7169999480247498,0.4711547791957855,0.11327140033245087,9.765624753299562e-08
