"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.9200000166893005,0.9266667366027832,0.9180000424385071,0.919999897480011,0.9099695682525635,0.2789827585220337,0.41927123069763184
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9399999976158142,0.9333333373069763,0.9320000410079956,0.9300000071525574,0.9460951089859009,0.27406853437423706,0.5034618377685547
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.949999988079071,0.9466666579246521,0.9420000314712524,0.9409999847412109,0.9505192041397095,0.2727735638618469,0.5186356902122498
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",4,0.9200000166893005,0.919999897480011,0.9420000314712524,0.9440000057220459,0.9537457823753357,0.2724558711051941,0.506947934627533
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",5,0.9700000286102295,0.9533332586288452,0.9560000896453857,0.9580000042915344,0.9703559279441833,0.27120018005371094,0.5076032280921936
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",6,0.949999988079071,0.9366666674613953,0.9380000233650208,0.9350000023841858,0.9447365403175354,0.2713684141635895,0.5173119902610779
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",7,0.9200000166893005,0.9300000667572021,0.9300000071525574,0.9300000667572021,0.9336497783660889,0.27242743968963623,0.5337617993354797
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",8,0.9100000262260437,0.9133333563804626,0.9160000085830688,0.9169999957084656,0.9350139498710632,0.27316564321517944,0.5363055467605591
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",9,0.949999988079071,0.949999988079071,0.9480000138282776,0.9409999847412109,0.9513276815414429,0.2715159058570862,0.5213965773582458
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",10,0.949999988079071,0.940000057220459,0.9339999556541443,0.9330000281333923,0.9519186615943909,0.27086472511291504,0.5336397886276245
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",1,0.550000011920929,0.6066666841506958,0.5759999752044678,0.5330000519752502,0.17795036733150482,0.06346118450164795,0.4165748059749603
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",2,0.8399999737739563,0.8299999833106995,0.8359999656677246,0.8289999961853027,0.6760243773460388,0.06558094918727875,0.40929049253463745
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",3,0.9200000166893005,0.9266666173934937,0.9259998798370361,0.9290000200271606,0.9149951934814453,0.07826431095600128,0.4381135404109955
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",4,0.9599999785423279,0.9533333778381348,0.9479999542236328,0.9480000138282776,0.9477893710136414,0.07668149471282959,0.45926812291145325
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",5,0.949999988079071,0.9533333778381348,0.9539999961853027,0.9529999494552612,0.9597519040107727,0.07667288929224014,0.4737037718296051
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",6,0.949999988079071,0.949999988079071,0.949999988079071,0.9509999752044678,0.9539889693260193,0.07678180932998657,0.4838096499443054
