"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",1,1.0,1.0,0.996363639831543,0.9254544973373413,0.9206340312957764,0.18512897193431854,1.9080940205640218e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",2,1.0,0.9939393401145935,0.996363639831543,0.9254544973373413,0.953162670135498,0.21809276938438416,7.632376082256087e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",3,1.0,1.0,1.0,0.9254544973373413,0.9459636807441711,0.25270676612854004,1.9080940205640218e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",4,1.0,1.0,1.0,0.9254544973373413,0.9437004327774048,0.26624369621276855,5.724281777474971e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",5,1.0,1.0,1.0,0.9272726774215698,0.9419769048690796,0.2817678153514862,5.724281777474971e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",1,1.0,0.9939393401145935,0.9890908598899841,0.9163635969161987,0.924472987651825,0.21084998548030853,3.8161880411280436e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",2,1.0,0.9939393401145935,0.9927272200584412,0.9199999570846558,0.9320336580276489,0.24738454818725586,3.8161880411280436e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",3,1.0,0.9878787398338318,0.9927272200584412,0.9199999570846558,0.9339764714241028,0.27132028341293335,5.724281777474971e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",4,1.0,0.9878787398338318,0.9927272200584412,0.9218181371688843,0.9459245204925537,0.2901064157485962,9.540469818603015e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",5,1.0,0.9939393401145935,0.9854544997215271,0.9090909361839294,0.9320263862609863,0.28981953859329224,7.632376082256087e-07
