"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",1,0.3100000023841858,0.33000001311302185,0.31200000643730164,0.29999998211860657,0.20367145538330078,0.44534510374069214,9.949544619303197e-05
"CIFAR10",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",2,0.15000000596046448,0.17333334684371948,0.17399999499320984,0.14800000190734863,0.1405188888311386,0.8758182525634766,0.00012732746836263686
"CIFAR10",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",3,0.07999999821186066,0.11000000685453415,0.1080000028014183,0.10999999940395355,0.10052891075611115,0.6910164952278137,0.00010405273496871814
"CIFAR10",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",4,0.05999999865889549,0.10333333909511566,0.10600000619888306,0.10300001502037048,0.10071741044521332,0.6682412624359131,9.523111657472327e-05
"CIFAR10",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",5,0.10000000149011612,0.1066666692495346,0.11800000071525574,0.10899999737739563,0.10003955662250519,0.5939333438873291,7.132161408662796e-05
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.8899999856948853,0.9233334064483643,0.9179999828338623,0.9100000262260437,0.9043014049530029,0.2886837422847748,6.184895937622059e-07
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9200000166893005,0.9200000166893005,0.9079999327659607,0.9090000987052917,0.922929048538208,0.28416702151298523,1.106770810110902e-06
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.949999988079071,0.9466666579246521,0.9480000138282776,0.9380000233650208,0.9436371326446533,0.28072524070739746,1.6276042060781037e-06
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",4,0.9100000262260437,0.9399999976158142,0.940000057220459,0.9390000700950623,0.9409301280975342,0.27885979413986206,2.0182292246317957e-06
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",5,0.9599999785423279,0.9599999189376831,0.9580000042915344,0.9610000848770142,0.9714224338531494,0.27712124586105347,3.1901042802928714e-06
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",1,0.36000001430511475,0.3733333647251129,0.34200000762939453,0.33500000834465027,0.16848865151405334,0.15169644355773926,1.8570963220554404e-05
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",2,0.20999999344348907,0.23666666448116302,0.23400001227855682,0.24000002443790436,0.12967045605182648,0.1487732231616974,3.133137943223119e-05
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",3,0.019999999552965164,0.07666666805744171,0.08799999952316284,0.08799999952316284,0.100843645632267,0.5799083113670349,0.00010139973892364651
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",4,0.12999999523162842,0.1133333295583725,0.10400000214576721,0.10099999606609344,0.1003745049238205,0.5976961851119995,2.744140692811925e-05
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ViT","All","Disable","",5,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000894069672,0.10016287863254547,0.0,0.0
"Oxford5k",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",1,1.0,0.9454545378684998,0.9381818771362305,0.8545454740524292,0.817518413066864,0.20147603750228882,0.0
"Oxford5k",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",2,1.0,0.9939393997192383,0.9927272200584412,0.9145453572273254,0.9084873795509338,0.21232789754867554,0.0
"Oxford5k",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",3,1.0,1.0,1.0,0.9218181371688843,0.9249973893165588,0.23154360055923462,7.632376082256087e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",4,1.0,0.9939393401145935,0.9927272200584412,0.9218181371688843,0.9188095331192017,0.2602238655090332,3.8161880411280436e-07
"Oxford5k",1024,"L1","Enable","10/10",0.2,"AlexNet","All","Disable","",5,1.0,1.0,1.0,0.9181817770004272,0.9313854575157166,0.26822060346603394,5.724281777474971e-07
