"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",2,1.0,0.9333334565162659,0.919999897480011,0.8218181729316711,0.789673388004303,0.14902406930923462,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",3,1.0,0.9636364579200745,0.9345454573631287,0.8545454740524292,0.8280274868011475,0.16408127546310425,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",4,1.0,0.9696969985961914,0.9599999785423279,0.8781818151473999,0.881118655204773,0.1757875382900238,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",5,1.0,0.9939393401145935,0.9890909194946289,0.9090908169746399,0.8791879415512085,0.18698443472385406,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",1,1.0,0.9151514768600464,0.880000114440918,0.7654545307159424,0.7261571288108826,0.13068288564682007,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",2,1.0,0.9515151977539062,0.9236364364624023,0.8309091329574585,0.8035333752632141,0.1456056833267212,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",3,1.0,0.9636364579200745,0.9527272582054138,0.8690909743309021,0.8381341695785522,0.16029825806617737,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",4,1.0,0.9878788590431213,0.9818181991577148,0.8981817960739136,0.890694260597229,0.17305061221122742,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",5,1.0,0.9818181991577148,0.978181779384613,0.8963636159896851,0.8870558142662048,0.17956319451332092,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",1,1.0,0.8121212124824524,0.749090850353241,0.5909090638160706,0.44701191782951355,0.11657232791185379,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",2,1.0,0.8848485350608826,0.854545533657074,0.7163636088371277,0.6416055560112,0.1130216121673584,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",3,1.0,0.9333333969116211,0.9054545164108276,0.7963636517524719,0.7659229040145874,0.12464483082294464,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",4,1.0,0.957575798034668,0.9163635969161987,0.8345454931259155,0.8089578151702881,0.13733133673667908,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",5,1.0,0.957575798034668,0.9272727370262146,0.8418181538581848,0.8340951800346375,0.14442573487758636,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,1.0,0.8909090757369995,0.8109090924263,0.6618182063102722,0.5053219795227051,0.10148652642965317,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,1.0,0.9212121367454529,0.8509091734886169,0.7309091091156006,0.5790866017341614,0.10147634893655777,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,1.0,0.939393937587738,0.8981818556785583,0.7654545307159424,0.6692779660224915,0.10281845927238464,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,1.0,0.9515151977539062,0.9163635969161987,0.7963637113571167,0.7218103408813477,0.104006327688694,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,1.0,0.957575798034668,0.923636257648468,0.8218181133270264,0.7541864514350891,0.1047370582818985,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",1,1.0,0.903030276298523,0.8218181729316711,0.6745454668998718,0.5114951133728027,0.10144020617008209,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",2,1.0,0.9151514768600464,0.8472726941108704,0.7290908694267273,0.5840967893600464,0.1012008935213089,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",3,1.0,0.9212121367454529,0.8799999356269836,0.7690909504890442,0.6484076976776123,0.10185723751783371,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",4,1.0,0.939393937587738,0.9163635969161987,0.800000011920929,0.7183563709259033,0.10358463227748871,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",5,1.0,0.9636363387107849,0.9236363768577576,0.8272727131843567,0.7530694007873535,0.10537867248058319,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",1,1.0,0.8787879347801208,0.7745454907417297,0.6290909051895142,0.43247756361961365,0.10123420506715775,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",2,1.0,0.8909090757369995,0.7745454907417297,0.6381818056106567,0.44287559390068054,0.10069940984249115,3.8161880411280436e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",3,1.0,0.8969696760177612,0.8109090924263,0.674545407295227,0.48578062653541565,0.10068176686763763,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",4,1.0,0.9151514768600464,0.8436363935470581,0.6909090876579285,0.5388283729553223,0.10028339177370071,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",5,1.0,0.9151514768600464,0.8654544949531555,0.7290908694267273,0.5913040041923523,0.10030871629714966,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",1,1.0,0.8666666746139526,0.7890908718109131,0.6545455455780029,0.5234681963920593,0.10543154180049896,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",2,1.0,0.9090909957885742,0.8581818342208862,0.7381818890571594,0.6430870890617371,0.1059516966342926,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",3,1.0,0.939393937587738,0.8981817960739136,0.7909091114997864,0.7207992076873779,0.10730104148387909,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",4,1.0,0.957575798034668,0.9199999570846558,0.8163635730743408,0.7735387086868286,0.10835078358650208,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",5,1.0,0.9696969389915466,0.941818118095398,0.8418181538581848,0.7951486110687256,0.11191631853580475,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",1,1.0,0.8787878751754761,0.7818180918693542,0.6618182063102722,0.5423650145530701,0.1049812063574791,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",2,1.0,0.9212121367454529,0.8618181943893433,0.7418181896209717,0.657087504863739,0.10498659312725067,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",3,1.0,0.9333333969116211,0.8981817960739136,0.7836363315582275,0.7214416265487671,0.10678107291460037,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",4,1.0,0.9454545378684998,0.9272727370262146,0.8254545331001282,0.7719541192054749,0.10902252793312073,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",5,1.0,0.957575798034668,0.9345453977584839,0.8472727537155151,0.7993761301040649,0.10985872149467468,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",1,1.0,0.8181818127632141,0.7054545283317566,0.5854545831680298,0.41542816162109375,0.10614022612571716,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",2,1.0,0.8545454144477844,0.749090850353241,0.6163636445999146,0.480374276638031,0.10391391813755035,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",3,1.0,0.8727272748947144,0.8218181729316711,0.6818181872367859,0.5851666331291199,0.10246370732784271,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",4,1.0,0.9151514768600464,0.8545454740524292,0.7181817889213562,0.6556659936904907,0.10122284293174744,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",5,1.0,0.9333333969116211,0.8981818556785583,0.7854545712471008,0.7255508899688721,0.10142014920711517,0.0
