"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",1,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10017278045415878,nan,1.0
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",2,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10017278045415878,nan,1.0
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",3,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10017278045415878,nan,1.0
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",4,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10017278045415878,nan,1.0
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",5,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10017278045415878,nan,1.0
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.7900000214576721,0.7866666913032532,0.784000039100647,0.7559999823570251,0.3365893065929413,0.07806351780891418,0.503227949142456
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.8600000143051147,0.7800000905990601,0.784000039100647,0.7720000743865967,0.37971511483192444,0.07791535556316376,0.5066145062446594
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.8299999833106995,0.7966666221618652,0.8059999942779541,0.7810000777244568,0.4091812074184418,0.0791705995798111,0.5084434151649475
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.8399999737739563,0.8166667222976685,0.8000000715255737,0.781999945640564,0.43042561411857605,0.08084041625261307,0.5053600668907166
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.8199999928474426,0.8066667318344116,0.7900000214576721,0.7749999761581421,0.44801101088523865,0.08353640884160995,0.5058322548866272
