"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"Disable","NegApproxLoss1",1,0.7599999904632568,0.699999988079071,0.7099999785423279,0.6730000376701355,0.3462805449962616,0.09667318314313889,0.4346064329147339
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"Disable","NegApproxLoss1",2,0.7699999809265137,0.7233333587646484,0.7200000286102295,0.7039999961853027,0.4426954686641693,0.11686612665653229,0.3967956006526947
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"Disable","NegApproxLoss1",3,0.75,0.7266666293144226,0.7300000786781311,0.7280000448226929,0.4958978295326233,0.14052748680114746,0.3761146664619446
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"Disable","NegApproxLoss1",4,0.7799999713897705,0.7566667199134827,0.7560000419616699,0.7619999647140503,0.5608028769493103,0.13502059876918793,0.24857573211193085
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"Disable","NegApproxLoss1",5,0.7900000214576721,0.7633333802223206,0.7619999647140503,0.7559999823570251,0.5755883455276489,0.140784353017807,0.2536547780036926
