"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","5/5",0.2,"ResNet18","All","Disable","",1,0.9300000071525574,0.9233334064483643,0.9160000085830688,0.9119999408721924,0.9161019325256348,0.28283873200416565,4.39453117451194e-07
"CIFAR10",1024,"","Enable","5/5",0.2,"ResNet18","All","Disable","",2,0.9300000071525574,0.93666672706604,0.9300000071525574,0.9350000023841858,0.9247020483016968,0.27853062748908997,3.906249901319825e-07
"CIFAR10",1024,"","Enable","5/5",0.2,"ResNet18","All","Disable","",3,0.8999999761581421,0.919999897480011,0.9220000505447388,0.9160000085830688,0.9264438152313232,0.2887595295906067,4.557291788387374e-07
"CIFAR10",1024,"","Enable","10/5",0.2,"ResNet18","All","Disable","",1,0.9100000262260437,0.9000000953674316,0.9099999070167542,0.9119999408721924,0.9221609234809875,0.27600499987602234,6.184895937622059e-07
"CIFAR10",1024,"","Enable","10/5",0.2,"ResNet18","All","Disable","",2,0.9100000262260437,0.9266666173934937,0.9280000925064087,0.9279999732971191,0.9392021894454956,0.2751404047012329,6.67317692659708e-07
"CIFAR10",1024,"","Enable","10/5",0.2,"ResNet18","All","Disable","",3,0.9300000071525574,0.9366666674613953,0.9240000247955322,0.921999990940094,0.931080162525177,0.2721242904663086,8.300781360048859e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.8999999761581421,0.9266667366027832,0.9259999990463257,0.9289999604225159,0.9105276465415955,0.27483201026916504,6.51041659693874e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9300000071525574,0.9266667366027832,0.9300000071525574,0.9309999942779541,0.9338094592094421,0.27333346009254456,4.557291788387374e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.9399999976158142,0.9366666674613953,0.9359999895095825,0.934999942779541,0.9547283053398132,0.2726989984512329,4.7200521180457145e-07
