"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",1,0.9200000166893005,0.9266666173934937,0.9219998717308044,0.9160000085830688,0.8199816942214966,0.1877184361219406,0.4214819073677063
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",2,0.9300000071525574,0.9333333373069763,0.9300000667572021,0.9319999814033508,0.8980759978294373,0.2411918193101883,0.25973841547966003
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",3,0.9599999785423279,0.949999988079071,0.9540001153945923,0.9559999704360962,0.9397403001785278,0.2722032070159912,0.347221314907074
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",4,0.9700000286102295,0.9766666889190674,0.9740000367164612,0.9690001010894775,0.9535181522369385,0.2734874188899994,0.39765870571136475
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",5,0.9599999785423279,0.9666666388511658,0.968000054359436,0.9629999399185181,0.959856390953064,0.27536410093307495,0.41990306973457336
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",6,0.9700000286102295,0.9700000286102295,0.9719999432563782,0.9779999256134033,0.9759023785591125,0.2722174823284149,0.45971712470054626
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",7,0.9900000095367432,0.9833332896232605,0.9800000190734863,0.9800000190734863,0.97279953956604,0.27153146266937256,0.46970677375793457
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",8,1.0,0.9900000691413879,0.9839999675750732,0.9800000190734863,0.9817965626716614,0.27320241928100586,0.4827839136123657
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",9,0.9800000190734863,0.9900000691413879,0.9819999933242798,0.9850000143051147,0.9813587069511414,0.27291369438171387,0.4924958348274231
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",10,0.9800000190734863,0.9766666293144226,0.9740000367164612,0.974000096321106,0.977272629737854,0.2717333734035492,0.49210453033447266
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",11,0.9900000095367432,0.9866666197776794,0.9860000014305115,0.9850000143051147,0.9888166189193726,0.27041223645210266,0.5010530352592468
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",12,1.0,0.996666669845581,0.9940000176429749,0.9900000095367432,0.9963629841804504,0.2723514139652252,0.5107467174530029
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",13,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9790000319480896,0.9842181205749512,0.2724922299385071,0.5087702870368958
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",14,0.9800000190734863,0.9833333492279053,0.9860000014305115,0.9890000224113464,0.9863216280937195,0.2706957459449768,0.5072607398033142
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","",15,0.9900000095367432,0.9833333492279053,0.984000027179718,0.9850000143051147,0.9905648827552795,0.2709387242794037,0.5167962312698364
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",1,0.6600000262260437,0.6600000262260437,0.6320000290870667,0.6000000238418579,0.26852208375930786,0.09029245376586914,0.4575241506099701
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",2,0.47999998927116394,0.40333330631256104,0.3840000033378601,0.37000003457069397,0.17872948944568634,0.1009472906589508,0.4971044361591339
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",3,0.49000000953674316,0.43333330750465393,0.4220000207424164,0.42900002002716064,0.21858860552310944,0.11377725005149841,0.4977227747440338
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",4,0.5299999713897705,0.5233333706855774,0.49800002574920654,0.47499996423721313,0.2384193390607834,0.11676628887653351,0.5126962661743164
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",5,0.49000000953674316,0.5199999809265137,0.5180000066757202,0.4950000047683716,0.2863377034664154,0.12118998169898987,0.4817439317703247
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",6,0.550000011920929,0.49000003933906555,0.5020000338554382,0.503000020980835,0.30958452820777893,0.1296028047800064,0.5164373517036438
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",7,0.5799999833106995,0.533333420753479,0.5400000214576721,0.5280000567436218,0.3219461441040039,0.12959256768226624,0.4941173791885376
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",8,0.5199999809265137,0.5533333420753479,0.562000036239624,0.5440000295639038,0.30741816759109497,0.12337658554315567,0.49433162808418274
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",9,0.5699999928474426,0.5666666626930237,0.550000011920929,0.5609999299049377,0.3559452295303345,0.12664446234703064,0.4676504135131836
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",10,0.550000011920929,0.5566666722297668,0.5379999876022339,0.5530000329017639,0.34131360054016113,0.12136933207511902,0.5032808780670166
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",11,0.5699999928474426,0.5266667008399963,0.5380000472068787,0.5249999761581421,0.321514368057251,0.11940374970436096,0.5034891963005066
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",12,0.5799999833106995,0.5566666722297668,0.5379999876022339,0.527999997138977,0.347371369600296,0.12083226442337036,0.5071589350700378
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",13,0.5199999809265137,0.5166666507720947,0.5239999890327454,0.5299999713897705,0.35105785727500916,0.11875850707292557,0.5021741390228271
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",14,0.5099999904632568,0.48666664958000183,0.484000027179718,0.4789999723434448,0.31497517228126526,0.1188083365559578,0.4927936792373657
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",15,0.550000011920929,0.5233333110809326,0.534000039100647,0.5059999227523804,0.327566921710968,0.1197611466050148,0.4726407527923584
