"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",1,0.7599999904632568,0.7800000905990601,0.7680000066757202,0.7570000290870667,0.529172956943512,0.162380188703537,4.882812731921149e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",2,0.7799999713897705,0.7666667103767395,0.7699999809265137,0.7599999904632568,0.5755133032798767,0.2053820788860321,3.0924479688110296e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",3,0.7699999809265137,0.7699999809265137,0.7619999647140503,0.7590000033378601,0.590376079082489,0.2196449637413025,3.0924479688110296e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",3,"Disable","",1,0.8799999952316284,0.8566667437553406,0.8539999127388,0.8419999480247498,0.8278795480728149,0.2794782519340515,6.83593725625542e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",3,"Disable","",2,0.8799999952316284,0.8833333849906921,0.878000020980835,0.878000020980835,0.8884369730949402,0.27405527234077454,4.2317708448535996e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",3,"Disable","",3,0.9200000166893005,0.8966666460037231,0.8920000195503235,0.8910000324249268,0.8979350924491882,0.27252498269081116,5.045573061579489e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.8700000047683716,0.8800000548362732,0.8819999694824219,0.887999951839447,0.8911348581314087,0.2770147919654846,4.39453117451194e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9100000262260437,0.9233333468437195,0.9259999990463257,0.9229999780654907,0.9351510405540466,0.27252790331840515,3.7434895716614847e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.9200000166893005,0.90666663646698,0.9080000519752502,0.9080000519752502,0.9104665517807007,0.2734788954257965,6.347656267280399e-07
