"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.9100000262260437,0.9033333659172058,0.8999999761581421,0.9030000567436218,0.8995690941810608,0.2791704535484314,0.4356119930744171
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9300000071525574,0.9266666173934937,0.9259999990463257,0.925000011920929,0.9377123117446899,0.2756250202655792,0.49594154953956604
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.949999988079071,0.9666666388511658,0.9539999961853027,0.955000102519989,0.9581318497657776,0.27245092391967773,0.49797409772872925
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",4,0.949999988079071,0.949999988079071,0.9559999108314514,0.9549999237060547,0.9577603340148926,0.2716529369354248,0.507513165473938
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",5,0.9300000071525574,0.9300000071525574,0.9319999814033508,0.9280000329017639,0.951353132724762,0.270921528339386,0.5207510590553284
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",6,0.9300000071525574,0.9233333468437195,0.9259999990463257,0.9319999814033508,0.9433205127716064,0.27445903420448303,0.5207380056381226
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",7,0.8999999761581421,0.9166667461395264,0.9200000166893005,0.925000011920929,0.9346463680267334,0.2758013904094696,0.49785423278808594
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",8,0.9300000071525574,0.9466667175292969,0.9459999799728394,0.9509999752044678,0.965040385723114,0.27308034896850586,0.5228164792060852
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",9,0.9300000071525574,0.9300000071525574,0.9359999895095825,0.9329999685287476,0.9387170672416687,0.27088335156440735,0.5379195213317871
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",10,0.9200000166893005,0.9200000762939453,0.9300000071525574,0.9359999895095825,0.947377622127533,0.27287641167640686,0.5290762186050415
