"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.9300000071525574,0.9200001358985901,0.9140000939369202,0.9129999279975891,0.8991351127624512,0.27666687965393066,0.45411965250968933
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.949999988079071,0.9399999976158142,0.9320000410079956,0.9319999814033508,0.9321697950363159,0.27567481994628906,0.4881078898906708
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.9300000071525574,0.9399999976158142,0.9420000314712524,0.9449999928474426,0.9554626941680908,0.2738649249076843,0.49964961409568787
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",4,0.9399999976158142,0.9233333468437195,0.9200000166893005,0.9179999828338623,0.9363158345222473,0.27500754594802856,0.49934661388397217
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",5,0.8799999952316284,0.9100000262260437,0.9140000343322754,0.9230000376701355,0.9385574460029602,0.2745257318019867,0.48162445425987244
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",6,0.9100000262260437,0.9200000762939453,0.921999990940094,0.9210000038146973,0.9389204382896423,0.2734593152999878,0.504020094871521
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",7,0.9399999976158142,0.9433333873748779,0.9399999976158142,0.9409999251365662,0.9531599283218384,0.2722529172897339,0.5221161842346191
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",8,0.949999988079071,0.9233333468437195,0.9259999990463257,0.9230000376701355,0.9467961192131042,0.2712576687335968,0.5459541082382202
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",9,0.9399999976158142,0.940000057220459,0.9340000152587891,0.9409999847412109,0.945692777633667,0.2718544602394104,0.526211142539978
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",10,0.9399999976158142,0.9300000071525574,0.9319999814033508,0.9350000023841858,0.9464054703712463,0.2714712619781494,0.537003755569458
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",11,0.949999988079071,0.9333332777023315,0.9340000152587891,0.9279999732971191,0.946362316608429,0.2740226089954376,0.5049846768379211
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",12,0.9100000262260437,0.9300000667572021,0.9299999475479126,0.9269999861717224,0.9347187876701355,0.27279984951019287,0.5545631647109985
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",13,0.9200000166893005,0.9166667461395264,0.9220000505447388,0.9190000295639038,0.9408823251724243,0.2757992148399353,0.5319527387619019
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",14,0.9399999976158142,0.9466666579246521,0.9399999976158142,0.9409999847412109,0.947848379611969,0.27100107073783875,0.5522142052650452
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",15,0.9300000071525574,0.9399999976158142,0.9360000491142273,0.9350000023841858,0.9426195025444031,0.2717631459236145,0.5497044324874878
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",1,0.9399999976158142,0.9399999380111694,0.9419999718666077,0.925000011920929,0.9158384799957275,0.27753591537475586,0.431776225566864
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",2,0.949999988079071,0.9600000977516174,0.9599999785423279,0.9470000267028809,0.9439688324928284,0.2765471935272217,0.49195849895477295
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",3,0.9200000166893005,0.9233332872390747,0.9200000166893005,0.9170000553131104,0.9288845658302307,0.27414965629577637,0.4762699007987976
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",4,0.9399999976158142,0.9399999976158142,0.9460000395774841,0.9430000185966492,0.9516162276268005,0.27376651763916016,0.404096394777298
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",5,0.8999999761581421,0.9133333563804626,0.9139999151229858,0.9150000810623169,0.9303377270698547,0.27102428674697876,0.43265655636787415
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",6,0.9200000166893005,0.9266667366027832,0.9280000329017639,0.9320000410079956,0.9432447552680969,0.27380815148353577,0.4030251204967499
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",7,0.9300000071525574,0.9466666579246521,0.9440000057220459,0.9399999976158142,0.9455782175064087,0.27225732803344727,0.42126452922821045
