"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.7300000190734863,0.7033333778381348,0.7059999704360962,0.675000011920929,0.3422306776046753,0.17508244514465332,0.4593835175037384
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.699999988079071,0.6399999856948853,0.6399999856948853,0.6319999694824219,0.3090974986553192,0.20324403047561646,0.4489647150039673
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.6899999976158142,0.6166666746139526,0.6079999804496765,0.5889999866485596,0.26566386222839355,0.11295495927333832,0.44824954867362976
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.5899999737739563,0.5766667127609253,0.5440000295639038,0.5330000519752502,0.2194611132144928,0.07746611535549164,0.4482421875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.47999998927116394,0.5433333516120911,0.5419999957084656,0.5189999938011169,0.22609977424144745,0.08301248401403427,0.4482421875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.5299999713897705,0.5533333420753479,0.5339999794960022,0.5119999647140503,0.2439003735780716,0.08913596719503403,0.4482421875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",7,0.5699999928474426,0.550000011920929,0.515999972820282,0.5009999871253967,0.25353068113327026,0.0924735814332962,0.4482421875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",8,0.5699999928474426,0.5100000500679016,0.5380000472068787,0.5130000114440918,0.2659511864185333,0.092471182346344,0.4482421875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",9,0.46000000834465027,0.4766666889190674,0.47999998927116394,0.484000027179718,0.26105284690856934,0.09580334275960922,0.4482421875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",10,0.550000011920929,0.5066666603088379,0.46800002455711365,0.4610000252723694,0.2518954575061798,0.10639621317386627,0.4482421875
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.5299999713897705,0.5200000405311584,0.5419999957084656,0.5410000085830688,0.2909555435180664,0.39416658878326416,0.5563385486602783
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.4300000071525574,0.4533333480358124,0.4559999704360962,0.45500001311302185,0.2743608057498932,0.5419979691505432,0.5140984654426575
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.3799999952316284,0.40666672587394714,0.4220000207424164,0.4090000092983246,0.2782340347766876,0.6139136552810669,0.4788428246974945
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.3799999952316284,0.4000000059604645,0.4020000100135803,0.3869999945163727,0.286056786775589,0.6615959405899048,0.46439817547798157
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.38999998569488525,0.4166666269302368,0.42200005054473877,0.4240000247955322,0.2950287163257599,0.6326816082000732,0.4588205814361572
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.46000000834465027,0.4566666781902313,0.47599998116493225,0.47699999809265137,0.30681443214416504,0.5185728073120117,0.455406129360199
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",7,0.6000000238418579,0.5666667222976685,0.5300000309944153,0.5149999856948853,0.3214055895805359,0.39522290229797363,0.45409584045410156
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",8,0.550000011920929,0.5466667413711548,0.5239999890327454,0.5360000133514404,0.34105193614959717,0.3603594899177551,0.4536658823490143
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",9,0.6100000143051147,0.5533333420753479,0.5600000023841858,0.5619999766349792,0.36144641041755676,0.3777027130126953,0.45345520973205566
"CIFAR10",128,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",10,0.5299999713897705,0.5366666913032532,0.5540000200271606,0.5550000071525574,0.3739345967769623,0.3945249021053314,0.4533250033855438
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.699999988079071,0.6499999761581421,0.6579999327659607,0.6499999761581421,0.3584176301956177,0.35977232456207275,0.39513862133026123
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.6600000262260437,0.6633333563804626,0.6780000329017639,0.6869999766349792,0.5121091604232788,0.40124380588531494,0.13409845530986786
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.6899999976158142,0.6966667175292969,0.6940000057220459,0.7029999494552612,0.5590324401855469,0.3341636657714844,0.20826885104179382
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.7300000190734863,0.7266666889190674,0.7099999785423279,0.7120000720024109,0.5754908919334412,0.3053719401359558,0.2081398218870163
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.7300000190734863,0.7066667079925537,0.7119999527931213,0.7049999833106995,0.5763837695121765,0.294173002243042,0.20200711488723755
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.7400000095367432,0.7166666388511658,0.7139999270439148,0.7089999914169312,0.5833472609519958,0.2901620864868164,0.17125201225280762
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",7,0.7400000095367432,0.7133333683013916,0.7219999432563782,0.7020000219345093,0.581203281879425,0.2859005928039551,0.16507716476917267
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",8,0.7300000190734863,0.6933333873748779,0.6980000138282776,0.7070000171661377,0.5795884728431702,0.28483831882476807,0.14488309621810913
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",9,0.7300000190734863,0.6833333373069763,0.7059999704360962,0.7139999270439148,0.581963837146759,0.287332683801651,0.12219155579805374
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",10,0.7799999713897705,0.6800000667572021,0.6940000057220459,0.7060000896453857,0.5773025155067444,0.2851450443267822,0.11611886322498322
