"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.7599999904632568,0.7933333516120911,0.7799999713897705,0.7400000095367432,0.3751280903816223,0.0816325917840004,0.0
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.8100000023841858,0.7599999904632568,0.7499999403953552,0.7439999580383301,0.4391925036907196,0.09758138656616211,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.7699999809265137,0.7566666603088379,0.7619999051094055,0.7430000305175781,0.45933324098587036,0.1111973375082016,1.3020833478094573e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.800000011920929,0.75,0.7439999580383301,0.7489999532699585,0.4671586751937866,0.09445428848266602,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.8199999928474426,0.7733333706855774,0.7759999632835388,0.7649999856948853,0.5031650066375732,0.11280544102191925,9.765624753299562e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.7699999809265137,0.7966667413711548,0.7779999375343323,0.7719999551773071,0.5128355026245117,0.12177687883377075,8.138020746173424e-08
"CIFAR10",1024,"","Enable","5/5",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.800000011920929,0.7566667199134827,0.7660000324249268,0.7460000514984131,0.41534489393234253,0.0837940201163292,0.0
"CIFAR10",1024,"","Enable","5/5",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.800000011920929,0.7766666412353516,0.7559999227523804,0.7410000562667847,0.35875511169433594,0.07743674516677856,6.510416739047287e-08
"CIFAR10",1024,"","Enable","5/5",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.8100000023841858,0.7566667199134827,0.7619999647140503,0.7350000143051147,0.3347392976284027,0.07543621212244034,6.510416739047287e-08
