"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","5/5",0.2,"AlexNet","",3,0.10999999940395355,0.07999999821186066,0.09200000762939453,0.08799999952316284,0.10056367516517639,0.6438082456588745,0.982421875
"CIFAR10",1024,"","Enable","5/5",0.2,"ResNet18","",3,0.949999988079071,0.9466666579246521,0.9539999961853027,0.953000009059906,0.9497528076171875,0.28607746958732605,0.4143518805503845
"CIFAR10",1024,"","Enable","5/5",0.2,"ViT","",3,0.9300000071525574,0.9266666173934937,0.9180000424385071,0.9259998798370361,0.9227347373962402,0.27662280201911926,0.3634451627731323
"CIFAR10",1024,"","Enable","10/5",0.2,"AlexNet","",3,0.8199999928474426,0.8133333325386047,0.8040000200271606,0.8040000796318054,0.7940139770507812,0.286187082529068,0.3101336658000946
"CIFAR10",1024,"","Enable","10/5",0.2,"ResNet18","",3,0.9399999976158142,0.9233333468437195,0.9160000085830688,0.9099999070167542,0.9214678406715393,0.272447407245636,0.5128926634788513
"CIFAR10",1024,"","Enable","10/5",0.2,"ViT","",3,0.949999988079071,0.9466667175292969,0.9520000219345093,0.9520001411437988,0.9498169422149658,0.27364280819892883,0.46741625666618347
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","",3,0.699999988079071,0.7166666984558105,0.7200000286102295,0.7270000576972961,0.6932714581489563,0.2881160378456116,0.31282490491867065
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","",3,0.9599999785423279,0.9633333683013916,0.9620000720024109,0.9630000591278076,0.9636053442955017,0.2738107442855835,0.5167393088340759
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","",3,0.9399999976158142,0.9399999380111694,0.9439999461174011,0.9390000700950623,0.94617760181427,0.27077630162239075,0.5210441946983337
