"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA","NegApproxLoss1",1,0.7200000286102295,0.699999988079071,0.6559999585151672,0.6329999566078186,0.27963966131210327,0.09105022251605988,0.5040705800056458
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA","NegApproxLoss1",2,0.7300000190734863,0.6833333373069763,0.6700000166893005,0.6329999566078186,0.29456913471221924,0.07261383533477783,0.5020686984062195
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA","NegApproxLoss1",3,0.6899999976158142,0.68666672706604,0.6660000085830688,0.6470000743865967,0.33711475133895874,0.06693859398365021,0.5013659596443176
