"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",3,0.800000011920929,0.7733333706855774,0.765999972820282,0.7509999871253967,0.5941702723503113,0.23216953873634338,0.24970917403697968
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",6,0.800000011920929,0.7866666913032532,0.7699999809265137,0.7639999985694885,0.6015298962593079,0.21806254982948303,0.23600232601165771
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",3,"Disable","",3,0.8899999856948853,0.8733333349227905,0.8680000305175781,0.8709999918937683,0.8886028528213501,0.2727748453617096,0.4789106249809265
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",3,"Disable","",6,0.8799999952316284,0.8799999952316284,0.8839999437332153,0.8820001482963562,0.9024720788002014,0.27048853039741516,0.5099580883979797
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.9200000166893005,0.8999999761581421,0.8999999761581421,0.9049999713897705,0.9195609092712402,0.27457407116889954,0.4920608699321747
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",6,0.8999999761581421,0.9100000262260437,0.9160000681877136,0.9140000343322754,0.9207379817962646,0.2718157470226288,0.5138992071151733
