"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.7799999713897705,0.7599999904632568,0.7459999918937683,0.7310000061988831,0.4536648094654083,0.09277345985174179,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.7900000214576721,0.7966667413711548,0.7639999389648438,0.7330000400543213,0.48397162556648254,0.1099422425031662,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.7599999904632568,0.7466667294502258,0.75,0.75,0.48940280079841614,0.11906543374061584,4.882812376649781e-08
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.8100000023841858,0.75,0.7300000190734863,0.7269999980926514,0.3749678134918213,0.07548981159925461,6.510416739047287e-08
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.7699999809265137,0.7433333396911621,0.7400000095367432,0.7339999675750732,0.4374353885650635,0.08686236292123795,1.6276041847618217e-08
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.7599999904632568,0.7200000286102295,0.7219999432563782,0.7149999737739563,0.45072177052497864,0.10992786288261414,1.1393229470968436e-07
