"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",1,0.949999988079071,0.9266667366027832,0.9139999151229858,0.8989999294281006,0.7722557187080383,0.2103390395641327,0.30331531167030334
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",2,0.9399999976158142,0.9399999976158142,0.9340000152587891,0.9290000200271606,0.8927253484725952,0.2388756275177002,0.2660926580429077
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",3,0.949999988079071,0.9466666579246521,0.949999988079071,0.9480000138282776,0.9272757172584534,0.27205127477645874,0.3594433665275574
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",4,0.9700000286102295,0.9633333683013916,0.965999960899353,0.9609999656677246,0.9527034163475037,0.27468353509902954,0.39367979764938354
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",5,0.9599999785423279,0.9599999785423279,0.953999936580658,0.9589999318122864,0.9547478556632996,0.2755342721939087,0.42694753408432007
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",6,0.9900000095367432,0.9800000190734863,0.9760000109672546,0.9730000495910645,0.9731542468070984,0.2777533531188965,0.43852806091308594
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",7,0.9700000286102295,0.9800000786781311,0.9760000109672546,0.9670000672340393,0.9713813662528992,0.27586135268211365,0.4714387357234955
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",8,0.9399999976158142,0.9533333778381348,0.9480000138282776,0.9520000219345093,0.9638742804527283,0.2740754783153534,0.47258874773979187
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",9,0.9700000286102295,0.9766666889190674,0.9760000109672546,0.9739999175071716,0.9688859581947327,0.27366727590560913,0.4682982563972473
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",10,0.9700000286102295,0.9733333587646484,0.9719999432563782,0.9639999270439148,0.9685978889465332,0.2717820405960083,0.47462978959083557
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",11,0.9700000286102295,0.9733333587646484,0.9700000286102295,0.9700000286102295,0.9744632244110107,0.27304455637931824,0.48381367325782776
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","Disable","NegApproxLoss1",12,0.949999988079071,0.9566666483879089,0.9599999785423279,0.9630000591278076,0.970998227596283,0.27233731746673584,0.468654066324234
