"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","5/5",0.5,"ResNet18","",1,0.7200000286102295,0.6700000166893005,0.6680000424385071,0.6470000743865967,0.49153128266334534,0.13586671650409698,0.5090400576591492
"Oxford5k",1024,"","Enable","5/5",0.5,"ResNet18","",1,1.0,0.9939393401145935,0.996363639831543,0.923636257648468,0.9820718765258789,0.24057742953300476,0.3227783441543579
"GoogleLandmarks",1024,"","Enable","5/5",0.5,"ResNet18","",1,0.415082186460495,0.27768826484680176,0.21166615188121796,0.1367064118385315,0.1601809859275818,0.11922207474708557,0.6535829305648804
