"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA","NegApproxLoss1",1,0.6700000166893005,0.6200000047683716,0.6399999856948853,0.6040000319480896,0.2541445791721344,0.09168544411659241,0.4959850311279297
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA","NegApproxLoss1",2,0.6399999856948853,0.6233333349227905,0.621999979019165,0.5839999914169312,0.26431870460510254,0.07322787493467331,0.49479520320892334
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA","NegApproxLoss1",3,0.6499999761581421,0.6266667246818542,0.6100000143051147,0.5880000591278076,0.2992359399795532,0.06744679063558578,0.49415653944015503
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",3,"ZCA","NegApproxLoss1",1,0.6299999952316284,0.6000000238418579,0.5600000023841858,0.5160000324249268,0.17361289262771606,0.08106404542922974,0.4638693332672119
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",3,"ZCA","NegApproxLoss1",2,0.10999999940395355,0.11000000685453415,0.11200001090765,0.11500000208616257,0.11010780185461044,0.07698756456375122,0.4638671875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",3,"ZCA","NegApproxLoss1",3,0.10999999940395355,0.09666667133569717,0.10999999940395355,0.11300000548362732,0.1007583886384964,0.09484284371137619,0.4638671875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","ZCA","NegApproxLoss1",1,0.3199999928474426,0.2800000309944153,0.2680000066757202,0.25600001215934753,0.1242334172129631,0.09554777294397354,0.4921875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","ZCA","NegApproxLoss1",2,0.09000000357627869,0.1133333295583725,0.12600000202655792,0.11600000411272049,0.10036657005548477,0.1265302300453186,0.490234375
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18","All","ZCA","NegApproxLoss1",3,0.09000000357627869,0.10666666179895401,0.10200000554323196,0.10200000554323196,0.1002105325460434,0.19322699308395386,0.48828125
