"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",1,0.75,0.7099999785423279,0.6780000329017639,0.6619999408721924,0.32198062539100647,0.09541018307209015,0.475718230009079
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",2,0.7300000190734863,0.7200000882148743,0.715999960899353,0.6929999589920044,0.4115423560142517,0.10963870584964752,0.4637167453765869
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",3,0.7799999713897705,0.7433333396911621,0.7319999933242798,0.7130000591278076,0.4654034674167633,0.12824007868766785,0.4619651138782501
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",4,0.7900000214576721,0.7500000596046448,0.734000027179718,0.7270000576972961,0.48969271779060364,0.14960724115371704,0.4620533883571625
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",5,0.7799999713897705,0.7266666889190674,0.7300000190734863,0.7200000286102295,0.5047549605369568,0.16317415237426758,0.46314576268196106
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.75,0.7433333396911621,0.703999936580658,0.6670000553131104,0.34952235221862793,0.10851925611495972,0.45296379923820496
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.7900000214576721,0.7566667199134827,0.7260000705718994,0.6969999670982361,0.41992777585983276,0.12433818727731705,0.4413259029388428
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.7699999809265137,0.753333330154419,0.7420000433921814,0.7209999561309814,0.46580371260643005,0.1440965235233307,0.4403737187385559
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.7400000095367432,0.7300000786781311,0.7280000448226929,0.7260000109672546,0.4873557686805725,0.16579461097717285,0.4391885995864868
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.7300000190734863,0.7100000977516174,0.7260000109672546,0.7319999933242798,0.502090573310852,0.18899540603160858,0.4218902289867401
