"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",1,0.7300000190734863,0.7266666889190674,0.6980000138282776,0.6499999761581421,0.28347495198249817,0.09219902753829956,0.49819010496139526
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",2,0.75,0.6833333373069763,0.6679999828338623,0.6419999599456787,0.2933676838874817,0.07320327311754227,0.4962271451950073
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",3,0.699999988079071,0.6966666579246521,0.6759999990463257,0.6650000214576721,0.33841395378112793,0.06782708317041397,0.4960992932319641
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",4,0.6899999976158142,0.6866666674613953,0.6800000071525574,0.6640000343322754,0.38045239448547363,0.0691678449511528,0.49609410762786865
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA1","NegApproxLoss1",5,0.6899999976158142,0.6766667366027832,0.6840000152587891,0.6730000376701355,0.41341865062713623,0.07335850596427917,0.49609375
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.7699999809265137,0.7099999785423279,0.7080000042915344,0.6530000567436218,0.35074883699417114,0.2786161005496979,0.4568573534488678
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.7200000286102295,0.6833333373069763,0.6419999599456787,0.5789999961853027,0.29616278409957886,0.40711045265197754,0.43848657608032227
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.6000000238418579,0.5800000429153442,0.550000011920929,0.515999972820282,0.2741636633872986,0.3839694559574127,0.4365634322166443
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.6399999856948853,0.596666693687439,0.578000009059906,0.550000011920929,0.2767676115036011,0.19902199506759644,0.4365244507789612
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.5699999928474426,0.5199999809265137,0.5239999890327454,0.49800002574920654,0.25705012679100037,0.07653582096099854,0.4365234375
