"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.75,0.7266666889190674,0.7119999527931213,0.6869999766349792,0.37233206629753113,0.18125398457050323,0.4607755243778229
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.7099999785423279,0.6766667366027832,0.6660000085830688,0.6399999856948853,0.33772051334381104,0.21183468401432037,0.4512816369533539
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.6299999952316284,0.596666693687439,0.5899999737739563,0.5830000042915344,0.28312262892723083,0.13463231921195984,0.4511719048023224
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.6600000262260437,0.6166667342185974,0.5880000591278076,0.5460000038146973,0.23863977193832397,0.08078973740339279,0.451171875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.6399999856948853,0.6266667246818542,0.5899999737739563,0.5600000023841858,0.24466805160045624,0.0871160477399826,0.451171875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.6299999952316284,0.6033333539962769,0.593999981880188,0.5569999814033508,0.27287495136260986,0.0979660302400589,0.451171875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",7,0.6499999761581421,0.6566666960716248,0.6140000224113464,0.5799999833106995,0.30265161395072937,0.11059647798538208,0.451171875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",8,0.6700000166893005,0.6366667747497559,0.628000020980835,0.6200000643730164,0.34105122089385986,0.12318055331707001,0.451171875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",9,0.6299999952316284,0.6533333659172058,0.6480000019073486,0.6489999890327454,0.3779646158218384,0.1416528970003128,0.451171875
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",10,0.7300000190734863,0.690000057220459,0.6819999814033508,0.671999990940094,0.41453608870506287,0.1700212061405182,0.451171875
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.7799999713897705,0.7300000786781311,0.7039999961853027,0.6840000152587891,0.3538534939289093,0.1576869636774063,0.49022454023361206
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.6600000262260437,0.6366667747497559,0.6200000047683716,0.5960000157356262,0.2527409791946411,0.10110176354646683,0.4907207787036896
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.6200000047683716,0.4866667687892914,0.42800000309944153,0.38599997758865356,0.12112975865602493,0.06472111493349075,0.4899105131626129
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.3799999952316284,0.34333336353302,0.3060000240802765,0.2770000100135803,0.10740474611520767,0.0648433193564415,0.4897540509700775
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.36000001430511475,0.26333335041999817,0.22600001096725464,0.20800000429153442,0.1054171472787857,0.06685526669025421,0.48973625898361206
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.3100000023841858,0.1899999976158142,0.17599999904632568,0.1850000023841858,0.10540711134672165,0.06930622458457947,0.4897676408290863
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",7,0.25999999046325684,0.1966666728258133,0.20999999344348907,0.1899999976158142,0.10613376647233963,0.07203547656536102,0.48985567688941956
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",8,0.2199999988079071,0.18333333730697632,0.17600002884864807,0.1639999896287918,0.10611990094184875,0.07476550340652466,0.48959603905677795
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",9,0.20999999344348907,0.15666668117046356,0.18200001120567322,0.1680000126361847,0.10711617767810822,0.07741561532020569,0.48929062485694885
"CIFAR10",1024,"","Disable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",10,0.12999999523162842,0.15000000596046448,0.14000000059604645,0.13199999928474426,0.10780371725559235,0.07740217447280884,0.4892578125
