"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18","All","Disable","",1,0.9200000166893005,0.90666663646698,0.9100000262260437,0.9070000648498535,0.8128433227539062,0.2668887972831726,1.7903646210015722e-07
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18","All","Disable","",2,0.9300000071525574,0.9233333468437195,0.9259998798370361,0.9230000376701355,0.8823977112770081,0.36299076676368713,1.3020833478094573e-07
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18","All","Disable","",3,0.949999988079071,0.9333333373069763,0.9320000410079956,0.9269999861717224,0.9027878642082214,0.29246851801872253,1.9531249506599124e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.9200000166893005,0.8833333849906921,0.8939999938011169,0.887999951839447,0.8875743746757507,0.2814940810203552,5.69661438021285e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9599999785423279,0.9100000262260437,0.9059999585151672,0.906999945640564,0.9079838395118713,0.2752007842063904,4.39453117451194e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.9300000071525574,0.9233333468437195,0.9259999990463257,0.9319999814033508,0.9459587931632996,0.27273643016815186,4.557291788387374e-07
