"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",1,0.6700000166893005,0.6266666650772095,0.6140000224113464,0.5979999899864197,0.3591775596141815,0.29548585414886475,0.0
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",2,0.7799999713897705,0.7566666603088379,0.7580000162124634,0.7609999775886536,0.6634387969970703,0.31515419483184814,5.37109372089617e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",3,0.800000011920929,0.7866666913032532,0.7780000567436218,0.7769999504089355,0.7137593626976013,0.29341354966163635,8.463541689707199e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",4,0.8500000238418579,0.8399999737739563,0.8320000171661377,0.824999988079071,0.7934044003486633,0.27805623412132263,7.486979143322969e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",5,0.8299999833106995,0.8199999928474426,0.8219999670982361,0.8249999284744263,0.8128443360328674,0.2779192328453064,9.440104236091429e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",1,0.6100000143051147,0.5566667318344116,0.5380000472068787,0.49400001764297485,0.19016633927822113,0.19224913418293,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",2,0.18000000715255737,0.17000000178813934,0.17599999904632568,0.18799999356269836,0.1526421308517456,0.27898794412612915,0.0
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",3,0.07000000029802322,0.09333334118127823,0.09800000488758087,0.10199999809265137,0.10330482572317123,0.34211933612823486,0.0
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",4,0.10999999940395355,0.09000000357627869,0.10600001364946365,0.09200000017881393,0.10050766170024872,0.37813061475753784,0.0
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",5,0.10000000149011612,0.0833333432674408,0.07800000160932541,0.09399999678134918,0.10114820301532745,0.3934795558452606,0.0
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.9100000262260437,0.9333333373069763,0.9259999990463257,0.9259998798370361,0.9233773946762085,0.2774953246116638,4.2317708448535996e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9700000286102295,0.9600000977516174,0.9579998850822449,0.9609999656677246,0.9568673968315125,0.2745368480682373,5.045573061579489e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.9399999976158142,0.949999988079071,0.9559999704360962,0.9539999961853027,0.9447898864746094,0.27359992265701294,4.7200521180457145e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",4,0.949999988079071,0.949999988079071,0.9560000896453857,0.9539999961853027,0.9731900691986084,0.2736177444458008,5.69661438021285e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",5,0.9300000071525574,0.940000057220459,0.9420000314712524,0.9440000653266907,0.9643968939781189,0.27065932750701904,6.51041659693874e-07
