"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",1,0.6499999761581421,0.6100000143051147,0.5880000591278076,0.562000036239624,0.17272411286830902,0.06426091492176056,1.4648438195763447e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",2,0.8399999737739563,0.8233333826065063,0.8319999575614929,0.828000009059906,0.6164613962173462,0.06501986086368561,9.765624753299562e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",3,0.9200000166893005,0.9300000071525574,0.9319999814033508,0.9360000491142273,0.9253755211830139,0.07784102857112885,8.95182267868222e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",4,0.949999988079071,0.9466667175292969,0.949999988079071,0.9469999670982361,0.9541186690330505,0.07693371921777725,1.074218744179234e-06
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",5,0.9200000166893005,0.9200000166893005,0.9240000247955322,0.9300000667572021,0.9382898807525635,0.07584655284881592,1.220703097715159e-06
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",1,0.949999988079071,0.9300000071525574,0.9300000071525574,0.9300000071525574,0.9212327003479004,0.27681517601013184,6.184895937622059e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",2,0.9599999785423279,0.9533333778381348,0.949999988079071,0.9459999799728394,0.9431201815605164,0.2734912633895874,6.67317692659708e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",3,0.9800000190734863,0.9766666889190674,0.9780000448226929,0.9770000576972961,0.969930112361908,0.27165675163269043,1.0904948339884868e-06
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",4,0.9599999785423279,0.9433333873748779,0.9419999718666077,0.9459999799728394,0.9352104663848877,0.274780809879303,6.83593725625542e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",5,0.9700000286102295,0.9666666984558105,0.968000054359436,0.9669999480247498,0.9692599773406982,0.2732565999031067,4.7200521180457145e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",1,0.4000000059604645,0.35333338379859924,0.3259999752044678,0.27900001406669617,0.117245614528656,0.05690750107169151,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",2,0.28999999165534973,0.27666667103767395,0.23999999463558197,0.20100000500679016,0.1110730841755867,0.055968157947063446,4.882812376649781e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",3,0.25999999046325684,0.2200000137090683,0.20399998128414154,0.18700000643730164,0.11038504540920258,0.05509041249752045,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",4,0.1599999964237213,0.14666666090488434,0.13600000739097595,0.14800000190734863,0.10881587862968445,0.05577833577990532,8.138020746173424e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",5,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10015762597322464,0.0,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",1,1.0,0.9636364579200745,0.945454478263855,0.8509091734886169,0.8195071816444397,0.1844898760318756,3.8161880411280436e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",2,1.0,1.0,0.9927272200584412,0.9181817770004272,0.9218665361404419,0.21034765243530273,5.724281777474971e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",3,1.0,1.0,0.9927272200584412,0.919999897480011,0.9301081299781799,0.23496675491333008,3.8161880411280436e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",4,1.0,1.0,0.996363639831543,0.9218181371688843,0.9386703968048096,0.25502002239227295,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","",5,1.0,1.0,0.996363639831543,0.9254544973373413,0.9339999556541443,0.2705152928829193,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",1,1.0,0.7757576107978821,0.7200000286102295,0.5963636040687561,0.46198973059654236,0.08288753777742386,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",2,1.0,0.8727272748947144,0.8509091734886169,0.7563636302947998,0.7116274833679199,0.08426201343536377,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",3,1.0,0.9454545378684998,0.9527273178100586,0.8781817555427551,0.877194881439209,0.0853649452328682,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",4,1.0,0.957575798034668,0.9672726988792419,0.9036363363265991,0.9026586413383484,0.08508546650409698,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet","All","Disable","CorrMatLoss",5,1.0,0.9696969985961914,0.978181779384613,0.916363537311554,0.9330952763557434,0.08525044471025467,3.8161880411280436e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",1,1.0,1.0,1.0,0.9163635969161987,0.9286256432533264,0.18564392626285553,5.724281777474971e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",2,1.0,0.9939393401145935,0.996363639831543,0.9254544973373413,0.9311778545379639,0.21288922429084778,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,1.0,0.9939393401145935,0.996363639831543,0.9254544973373413,0.9379400014877319,0.2409902960062027,7.632376082256087e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",4,1.0,1.0,0.996363639831543,0.9236363768577576,0.9377060532569885,0.26514261960983276,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",5,1.0,1.0,0.996363639831543,0.9254544973373413,0.9528979659080505,0.2872920632362366,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",1,1.0,0.6606060266494751,0.5309091210365295,0.39454546570777893,0.19487734138965607,0.08946724981069565,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",2,1.0,0.6303030252456665,0.49818184971809387,0.3618181645870209,0.1854160875082016,0.08742889016866684,5.724281777474971e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",3,1.0,0.5939393639564514,0.4509091377258301,0.33454543352127075,0.1676546335220337,0.0863901674747467,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",4,1.0,0.6121211647987366,0.4727272689342499,0.3872727155685425,0.20983567833900452,0.08674662560224533,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",5,1.0,0.7575756907463074,0.6981818675994873,0.5981818437576294,0.4963810443878174,0.08671800792217255,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",1,1.0,0.9939393401145935,0.9927272200584412,0.9163636565208435,0.9211791157722473,0.20570454001426697,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",2,1.0,0.9939393401145935,0.9890909194946289,0.9218181371688843,0.9451370239257812,0.24865713715553284,5.724281777474971e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",3,1.0,1.0,1.0,0.9218181371688843,0.9286863207817078,0.2668755352497101,5.724281777474971e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",4,1.0,0.9939393401145935,0.9781818985939026,0.9127272367477417,0.9281086325645447,0.2917519211769104,5.724281777474971e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","",5,1.0,1.0,0.996363639831543,0.9254544973373413,0.939812421798706,0.29926246404647827,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",1,1.0,0.5212121605873108,0.38545456528663635,0.24909092485904694,0.11100960522890091,0.07836787402629852,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",2,1.0,0.4424242675304413,0.3054545521736145,0.19272729754447937,0.09188190847635269,0.0766744464635849,5.724281777474971e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",3,1.0,0.4424242675304413,0.3163636326789856,0.19272729754447937,0.08936330676078796,0.07588562369346619,3.8161880411280436e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",4,1.0,0.38787877559661865,0.27636364102363586,0.16909092664718628,0.08852485567331314,0.0748893991112709,5.724281777474971e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT","All","Disable","CorrMatLoss",5,1.0,0.4303029775619507,0.28727275133132935,0.1709091067314148,0.08813025802373886,0.07481405138969421,3.8161880411280436e-07
