"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.9599999785423279,0.949999988079071,0.9539999961853027,0.9450000524520874,0.9181678891181946,0.27718740701675415,0.42849504947662354
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9700000286102295,0.9633333683013916,0.9599999785423279,0.9549999833106995,0.9614372849464417,0.274108350276947,0.49624311923980713
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.9300000071525574,0.940000057220459,0.9440000057220459,0.9480000138282776,0.9599912762641907,0.272469699382782,0.4890216290950775
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",4,0.949999988079071,0.949999988079071,0.9519999623298645,0.9480000138282776,0.956254243850708,0.27152180671691895,0.5029894113540649
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",5,0.9700000286102295,0.9666666388511658,0.9700000286102295,0.9719999432563782,0.9811356067657471,0.27108144760131836,0.509956419467926
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",6,0.9300000071525574,0.9300000071525574,0.9280000329017639,0.9249999523162842,0.9351511597633362,0.27314966917037964,0.4751243591308594
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",7,0.9800000190734863,0.9633333683013916,0.9639999866485596,0.9630000591278076,0.9673262238502502,0.2718568444252014,0.4805765748023987
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",8,0.9599999785423279,0.9599999785423279,0.9619999527931213,0.9630000591278076,0.9624896049499512,0.2705532908439636,0.45842015743255615
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",9,0.9700000286102295,0.9633333683013916,0.9660000801086426,0.9649999737739563,0.9687336683273315,0.2721738815307617,0.5003434419631958
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",10,0.9599999785423279,0.9633333683013916,0.9580000042915344,0.9589999914169312,0.9717614054679871,0.27068769931793213,0.4792863726615906
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",11,0.9700000286102295,0.9733333587646484,0.9740000367164612,0.9719999432563782,0.9754438996315002,0.27013278007507324,0.46713852882385254
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",12,0.9599999785423279,0.9599999785423279,0.9539999961853027,0.9589999914169312,0.9613337516784668,0.27079063653945923,0.501313328742981
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",13,0.9599999785423279,0.9566666483879089,0.9580000042915344,0.9599999785423279,0.9739619493484497,0.26997441053390503,0.5019890666007996
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",14,0.949999988079071,0.9599999785423279,0.9599999785423279,0.9609999656677246,0.9647560715675354,0.27000778913497925,0.4923837184906006
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",15,0.9399999976158142,0.9433333873748779,0.9440000653266907,0.9430000185966492,0.9523561596870422,0.27107399702072144,0.481828510761261
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",16,0.9399999976158142,0.93666672706604,0.9399999976158142,0.9430000185966492,0.9610202312469482,0.26996535062789917,0.48104622960090637
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",17,0.949999988079071,0.9599999785423279,0.9519999623298645,0.949999988079071,0.960456371307373,0.2716078758239746,0.4609244763851166
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",18,0.949999988079071,0.9566666483879089,0.9559999704360962,0.9509999752044678,0.9603961706161499,0.27180391550064087,0.50066739320755
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",19,0.9700000286102295,0.9666666388511658,0.9639999866485596,0.9639999270439148,0.9727286696434021,0.27207523584365845,0.4705476462841034
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",20,0.9599999785423279,0.9566666483879089,0.9539999961853027,0.949999988079071,0.9583897590637207,0.2733190655708313,0.49519383907318115
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",1,1.0,0.9939393401145935,0.9927272200584412,0.921818196773529,0.9258110523223877,0.18599745631217957,0.410190224647522
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",2,1.0,0.9939393401145935,0.9927272200584412,0.9236363768577576,0.9489601850509644,0.212039977312088,0.2675454914569855
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",3,1.0,0.9939393401145935,0.996363639831543,0.9236363768577576,0.9353938698768616,0.24844497442245483,0.29071566462516785
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",4,1.0,1.0,1.0,0.9254544973373413,0.9465853571891785,0.266282856464386,0.3107651472091675
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",5,1.0,1.0,1.0,0.9272726774215698,0.9587162137031555,0.2873968482017517,0.3595482409000397
