"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18","All","Disable","",5,0.9599999785423279,0.9700000286102295,0.9720000624656677,0.9649999737739563,0.9510971307754517,0.28417155146598816,0.5076507329940796
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18","All","Disable","",10,0.9300000071525574,0.9466667175292969,0.9440000057220459,0.9459999799728394,0.9547544717788696,0.28039613366127014,0.507056713104248
"CIFAR10",1024,"","Disable","10/10",0.2,"ResNet18","All","Disable","",15,0.9300000071525574,0.9266667366027832,0.9319999814033508,0.9319999814033508,0.940574049949646,0.2863377630710602,0.5099364519119263
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",5,0.9599999785423279,0.9466667175292969,0.9539999961853027,0.9559999704360962,0.9604140520095825,0.2695755958557129,0.532505989074707
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",10,0.949999988079071,0.9433333873748779,0.9419999718666077,0.9390000104904175,0.9511070251464844,0.27302640676498413,0.5402716994285583
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",15,0.9399999976158142,0.9300000071525574,0.9380000233650208,0.937000036239624,0.9495629668235779,0.27170008420944214,0.5533109307289124
