"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.800000011920929,0.7599999904632568,0.7360000014305115,0.7089999914169312,0.31512367725372314,0.07729289680719376,0.5017727017402649
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.7799999713897705,0.7599999904632568,0.7560000419616699,0.7410000562667847,0.3572103977203369,0.07722647488117218,0.506528913974762
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.800000011920929,0.7599999904632568,0.7559999823570251,0.7479999661445618,0.3856998383998871,0.07827264070510864,0.5053484439849854
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.7799999713897705,0.7699999809265137,0.7620000243186951,0.7590000033378601,0.4077579975128174,0.08028487116098404,0.5067832469940186
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.7900000214576721,0.7633333802223206,0.7599999904632568,0.7400000095367432,0.4234733283519745,0.08241872489452362,0.5075551271438599
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.8100000023841858,0.753333330154419,0.7480000257492065,0.7570000290870667,0.438658744096756,0.08519487082958221,0.5061886310577393
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",7,0.7900000214576721,0.7566667199134827,0.7459999918937683,0.7419999837875366,0.4485877752304077,0.08852678537368774,0.5083940029144287
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",8,0.7799999713897705,0.7433333396911621,0.75,0.7549999952316284,0.4628937840461731,0.09251415729522705,0.5081262588500977
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",9,0.7799999713897705,0.7466667294502258,0.7419999837875366,0.75,0.46898362040519714,0.09634467959403992,0.5096803903579712
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",10,0.7900000214576721,0.75,0.7559999823570251,0.7479999661445618,0.4750209450721741,0.10026337206363678,0.5101739764213562
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",11,0.8100000023841858,0.753333330154419,0.7519999742507935,0.7509999871253967,0.4782808721065521,0.10324489325284958,0.5111703276634216
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",12,0.8100000023841858,0.7699999809265137,0.7579999566078186,0.7549999952316284,0.48175767064094543,0.1066662073135376,0.5106936097145081
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",13,0.7799999713897705,0.7733333706855774,0.7639999389648438,0.7579999566078186,0.4810049831867218,0.10960136353969574,0.5119022130966187
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",14,0.7900000214576721,0.7599999904632568,0.7599999904632568,0.75,0.48252686858177185,0.11208067834377289,0.5116144418716431
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",15,0.7799999713897705,0.7766666412353516,0.7739999294281006,0.7609999775886536,0.48168548941612244,0.11369147896766663,0.5120113492012024
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",16,0.7599999904632568,0.7566666603088379,0.7620000243186951,0.7489999532699585,0.4790366291999817,0.11519551277160645,0.5120354890823364
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",17,0.7900000214576721,0.7800000905990601,0.7739999294281006,0.7519999742507935,0.4840705096721649,0.11677759885787964,0.513048529624939
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",18,0.8199999928474426,0.7633333802223206,0.7680000066757202,0.750999927520752,0.4828224182128906,0.11807103455066681,0.5124034285545349
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",19,0.7900000214576721,0.7599999904632568,0.7740001082420349,0.7459999918937683,0.4817735254764557,0.11943809688091278,0.5125166177749634
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",20,0.7900000214576721,0.7699999809265137,0.7760000824928284,0.7429999709129333,0.484335720539093,0.12025824934244156,0.5124369859695435
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",21,0.7900000214576721,0.800000011920929,0.7640001177787781,0.7380000352859497,0.4840010106563568,0.12134669721126556,0.5128123164176941
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",22,0.800000011920929,0.7800000905990601,0.7679999470710754,0.7290000319480896,0.48417845368385315,0.12156589329242706,0.5130848288536072
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",23,0.800000011920929,0.7933333516120911,0.7699999809265137,0.7439999580383301,0.4871079921722412,0.12184576690196991,0.512184739112854
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",24,0.7900000214576721,0.7799999713897705,0.7639999985694885,0.750999927520752,0.48463180661201477,0.12282304465770721,0.5121968388557434
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",25,0.800000011920929,0.7900000810623169,0.7699999809265137,0.7559999227523804,0.4827927350997925,0.12322621047496796,0.512175977230072
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",26,0.7799999713897705,0.800000011920929,0.7679999470710754,0.7400000095367432,0.48356392979621887,0.1245698630809784,0.51277095079422
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",27,0.8100000023841858,0.7866666913032532,0.7579999566078186,0.7430000901222229,0.481479287147522,0.12610241770744324,0.5123540759086609
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",28,0.7599999904632568,0.8033333420753479,0.7620000243186951,0.7490000128746033,0.4810604751110077,0.12629474699497223,0.5121245384216309
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",29,0.7900000214576721,0.7966667413711548,0.7759999632835388,0.753000020980835,0.4835849404335022,0.1271435022354126,0.5120220184326172
"CIFAR10",1024,"","Enable","10/40",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",30,0.800000011920929,0.7799999713897705,0.7579999566078186,0.753000020980835,0.4802326261997223,0.12760448455810547,0.5115653276443481
